game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url
grammar-galaxy,She don't like apples.,Subject-Verb Agreement,doesn't,doesn't,don't,didn't,won't,Easy,grammar,She is singular so use DOESN'T not don't!,,
grammar-galaxy,The cats is sleeping.,Subject-Verb Agreement,are,is,are,was,be,Easy,grammar,Cats is plural so use ARE not is!,,
grammar-galaxy,Him went to school.,Pronoun,He,Him,He,His,Her,Easy,grammar,Use HE for subject (doing action). HIM is for objects.,,
grammar-galaxy,I seen the movie yesterday.,Verb Tense,saw,seen,saw,see,seeing,Easy,grammar,Past tense of see is SAW. Seen needs have/had before it.,,
grammar-galaxy,They was very happy.,Subject-Verb Agreement,were,was,were,is,be,Easy,grammar,They is plural so use WERE not was!,,
grammar-galaxy,She run very fast everyday.,Subject-Verb Agreement,runs,run,runs,running,ran,Medium,grammar,She/He/It needs an S on the verb! She RUNS.,,
grammar-galaxy,The dog chased it's tail.,Apostrophe,its,it's,its,its',it,Medium,grammar,ITS (no apostrophe) = belonging to it. IT'S = it is.,,
grammar-galaxy,Everyone have finished their work.,Subject-Verb Agreement,has,have,has,had,having,Medium,grammar,Everyone is singular! Use HAS not have.,,
grammar-galaxy,She speaks more louder than him.,Comparative,louder,more louder,louder,more loud,loudest,Medium,grammar,Never use MORE with -ER words. Just LOUDER not more louder!,,
grammar-galaxy,Between you and I this is wrong.,Pronoun,me,I,me,myself,mine,Medium,grammar,Between you and ME. Object pronouns after prepositions!,,
grammar-galaxy,The team are playing good today.,Adverb/Adjective,well,good,well,better,best,Hard,grammar,WELL is the adverb. GOOD is an adjective. Playing WELL!,,
grammar-galaxy,If I was you I would leave now.,Subjunctive,were,was,were,am,be,Hard,grammar,If I WERE you - subjunctive mood for hypotheticals!,,
grammar-galaxy,The number of students have increased.,Subject-Verb Agreement,has,have,has,had,having,Hard,grammar,The NUMBER (singular) HAS increased. Numbers HAVE...,,
grammar-galaxy,Whom is responsible for this mess?,Pronoun,Who,Whom,Who,Whose,Which,Hard,grammar,WHO for subjects (doing action). WHOM for objects.,,
grammar-galaxy,She lay the book on the table.,Verb Form,laid,lay,laid,lain,lied,Hard,grammar,LAY needs an object (lay something). Past tense is LAID.,,
word-class-warp,dog,noun,noun,noun,verb,adjective,adverb,Easy,parts-of-speech,Nouns are people places things or ideas. Dog is a thing!,,
word-class-warp,run,verb,verb,noun,verb,adjective,adverb,Easy,parts-of-speech,Verbs are action words - what you DO. Run is an action!,,
word-class-warp,beautiful,adjective,adjective,noun,verb,adjective,adverb,Easy,parts-of-speech,Adjectives describe nouns. Beautiful flower - beautiful is adjective!,,
word-class-warp,quickly,adverb,adverb,noun,verb,adjective,adverb,Easy,parts-of-speech,Adverbs describe verbs (how you do things). Run QUICKLY!,,
word-class-warp,happiness,noun,noun,noun,verb,adjective,adverb,Easy,parts-of-speech,Happiness is a thing (an idea/feeling) so its a noun!,,
word-class-warp,think,verb,verb,noun,verb,adjective,adverb,Medium,parts-of-speech,Think is what your brain DOES - its an action verb!,,
word-class-warp,enormous,adjective,adjective,noun,verb,adjective,adverb,Medium,parts-of-speech,Enormous describes size. Enormous elephant - its an adjective!,,
word-class-warp,silently,adverb,adverb,noun,verb,adjective,adverb,Medium,parts-of-speech,-LY ending usually means adverb! Silently describes HOW.,,
word-class-warp,freedom,noun,noun,noun,verb,adjective,adverb,Medium,parts-of-speech,Freedom is an idea/concept - abstract noun!,,
word-class-warp,discover,verb,verb,noun,verb,adjective,adverb,Medium,parts-of-speech,Discover is what scientists DO - its an action verb!,,
