game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
fraction-exam,1/2,"What fraction is shaded?",3/4,"Numerator is top, Denominator is bottom.",3,Medium,identify,2/3,1/3,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:3:4,4,3/4,
fraction-exam,1/2,"What fraction is shaded?",1/2,"Numerator is top, Denominator is bottom.",1,Medium,identify,3/4,1/3,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:1:2,2,2/3,
fraction-exam,2/3,"What fraction is shaded?",1/3,"Numerator is top, Denominator is bottom.",1,Medium,identify,1/2,3/4,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:1:3,3,1/3,
fraction-exam,1/4,"What fraction is shaded?",1/4,"Numerator is top, Denominator is bottom.",1,Medium,identify,1/2,3/4,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:1:4,4,2/3,
fraction-exam,2/5,"What fraction is shaded?",3/5,"Numerator is top, Denominator is bottom.",3,Medium,identify,1/2,3/5,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:3:5,5,4/5,
fraction-exam,1/6,"What fraction is shaded?",2/6,"Numerator is top, Denominator is bottom.",2,Medium,identify,3/6,2/6,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:2:6,6,5/6,
fraction-exam,3/8,"What fraction is shaded?",5/8,"Numerator is top, Denominator is bottom.",5,Medium,identify,1/2,5/8,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:5:8,8,7/8,
fraction-exam,1/2,"What fraction is shaded?",1/2,"Numerator is top, Denominator is bottom.",1,Medium,identify,3/6,2/3,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:3:6,6,3/4,
fraction-exam,4/5,"What fraction is shaded?",2/5,"Numerator is top, Denominator is bottom.",2,Medium,identify,3/5,2/5,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:2:5,5,1/5,
fraction-exam,7/10,"What fraction is shaded?",3/10,"Numerator is top, Denominator is bottom.",3,Medium,identify,9/10,3/10,"Count the shaded parts (top) and total parts (bottom).",dynamic:fraction:3:10,10,1/2,
fraction-exam,numerator,"In the fraction 3/5, the number 3 is the...",numerator,"Top number is Numerator.",3,Easy,identify,denominator,whole,"It counts the parts we have.",,5,none,
fraction-exam,denominator,"In the fraction 2/7, the number 7 is the...",denominator,"Bottom number is Denominator.",2,Easy,identify,numerator,part,"It counts the total parts.",,7,none,
fraction-exam,one half,"1/2 in words is...",one half,"1/2 is one half.",1,Easy,identify,one third,two halves,"Read as one over two.",,2,one quarter,
fraction-exam,one quarter,"1/4 in words is...",one quarter,"1/4 is one quarter.",1,Easy,identify,one third,two quarters,"Read as one over four.",,4,one half,
fraction-exam,two thirds,"2/3 in words is...",two thirds,"2/3 is two thirds.",2,Easy,identify,three seconds,one third,"Read as two over three.",,3,three thirds,
fraction-exam,three quarters,"3/4 in words is...",three quarters,"3/4 is three quarters.",3,Easy,identify,four thirds,one quarter,"Read as three over four.",,4,three thirds,
fraction-exam,1/5,"One fifth as a fraction is...",1/5,"One fifth is 1 over 5.",1,Easy,identify,5/1,2/5,"Write number 1 on top.",,5,1/2,
fraction-exam,3/8,"Three eighths as a fraction is...",3/8,"Three eighths is 3 over 8.",3,Easy,identify,8/3,1/3,"Write number 3 on top.",,8,3/3,
fraction-exam,>,"Compare shaded areas.",>,"1/2 is bigger than 1/4.",1/2,Medium,compare,<,=,"Which slice is bigger?",dynamic:compare:1:2:1:4,1/4,?,
fraction-exam,<,"Compare shaded areas.",<,"1/3 is smaller than 1/2.",1/3,Medium,compare,>,=,"Which slice is bigger?",dynamic:compare:1:3:1:2,1/2,?,
fraction-exam,=,"Compare shaded areas.",=,"2/4 is equal to 1/2.",2/4,Medium,compare,<,>,"Are they the same size?",dynamic:compare:2:4:1:2,1/2,?,
fraction-exam,2/5,"5 dresses. 2 are red. What fraction is red?",2/5,"Part over Total.",2,Medium,identify,3/5,1/2,"Red dresses / Total dresses.",,5,5/2,
fraction-exam,3/5,"5 dresses. 3 are yellow. What fraction is yellow?",3/5,"Part over Total.",3,Medium,identify,2/5,1/3,"Yellow dresses / Total dresses.",,5,5/3,
fraction-exam,1/2,"Identify the shape showing 1/2.",1/2,"Look for 1 out of 2 parts shaded.",1,Easy,identify,1/4,1/3,"Count parts.",dynamic:fraction:1:2,2,2/3,
fraction-exam,3/4,"Identify the shape showing 3/4.",3/4,"Look for 3 out of 4 parts shaded.",3,Easy,identify,1/4,2/3,"Count parts.",dynamic:fraction:3:4,4,1/2,
